Species,Scientific_name,Guild,size
Acadian redfish,Sebastes fasciatus,demersal_benthivore,small
Alewife,Alosa pseudoharengus,pelagic,small
American lobster,Homarus americanus,megabenthos,small
American plaice,Hippoglossoides platessoides,demersal_benthivore,small
Atlantic cod,Gadus morhua,demersal_piscivore,large
Atlantic halibut,Hippoglossus hippoglossus,demersal_piscivore,large
Atlantic herring,Clupea harengus,pelagic,small
Atlantic mackerel,Scomber scombrus,pelagic,small
Atlantic wolffish,Anarhichas lupus,demersal_benthivore,large
Barndoor skate,Dipturus laevis,demersal_omnivore,large
Black sea bass,Centropristis striata,demersal_omnivore,small
Blueback herring,Alosa aestivalis,pelagic,small
Bluefish,Pomatomus saltatrix,,small
Butterfish,Peprilus triacanthus,pelagic,small
Clearnose skate,Raja eglanteria,demersal_benthivore,large
Monkfish,Lophius americanus,demersal_piscivore,large
Haddock,Melanogrammus aeglefinus,demersal_benthivore,small
Jonah crab,Cancer borealis,megabenthos,small
Little skate,Leucoraja erinacea,demersal_omnivore,small
Ocean pout,Zoarces americanus,demersal_benthivore,large
Offshore hake,Merluccius albidus,demersal_piscivore,small
Pollock,Pollachius virens,demersal_piscivore,large
Red hake,Urophycis chuss,demersal_benthivore,small
Rosette skate,Leucoraja garmani,demersal_benthivore,small
Scup,Stenotomus chrysops,demersal_benthivore,small
Silver hake,Merluccius bilinearis,demersal_piscivore,small
Smooth dogfish,Mustelus canis,demersal_piscivore,large
Smooth skate,Malacoraja senta,demersal_benthivore,large
Spiny dogfish,Squalus acanthias,demersal_piscivore,large
Summer flounder,Paralichthys dentatus,demersal_piscivore,small
Thorny skate,Amblyraja radiata,demersal_omnivore,large
White hake,Urophycis tenuis,demersal_piscivore,large
Windowpane,Scophthalmus aquosus,demersal_benthivore,small
Winter flounder,Pseudopleuronectes americanus,demersal_benthivore,small
Winter skate,Leucoraja ocellata,demersal_omnivore,large
Witch flounder,Glyptocephalus cynoglossus,demersal_benthivore,small
Yellowtail flounder,Limanda ferruginea,demersal_benthivore,small
